,City ID,City,Country Code,Latitude,Longitude,Temp Kelvin,Temp C,Temp F,Humidity (RH)%,Cloud% Cover,wind speed (m/s),wind speed (mph),Time stamp
0,662096,Äänekoski,FI,62.69,25.82,276.62,3.0,38.0,93,90,3.6,8.0,['22 Nov 2020 21:55:58']
1,1512223,Abalak,RU,58.13,68.59,262.36,-11.0,13.0,95,63,2.61,5.8,['22 Nov 2020 21:55:58']
2,110690,Abhā,SA,18.22,42.51,282.55,9.0,49.0,28,0,0.87,1.93,['22 Nov 2020 21:55:58']
3,172515,Abu Samrah,SY,35.3,37.18,284.78,12.0,53.0,82,11,0.58,1.29,['22 Nov 2020 21:55:58']
4,3533462,Acapulco de Juárez,MX,16.86,-99.89,300.15,27.0,81.0,88,5,3.1,6.89,['22 Nov 2020 21:55:58']
5,3408368,Acaraú,BR,-2.89,-40.12,299.33,26.0,79.0,79,35,5.78,12.84,['22 Nov 2020 21:55:58']
6,922015,Acoua,YT,-12.72,45.06,300.15,27.0,81.0,78,20,2.1,4.67,['22 Nov 2020 21:55:58']
7,235489,Adjumani,UG,3.38,31.79,295.2,22.0,72.0,85,90,0.72,1.6,['22 Nov 2020 21:55:58']
8,2381972,Adrar,MR,20.5,-10.07,292.09,19.0,66.0,27,5,6.26,13.91,['22 Nov 2020 21:55:58']
9,2351979,Agbor,NG,6.25,6.19,296.33,23.0,74.0,97,100,1.4,3.11,['22 Nov 2020 21:55:58']
10,2522325,Agüimes,ES,27.91,-15.45,295.18,22.0,72.0,40,0,2.6,5.78,['22 Nov 2020 21:55:58']
11,1651810,Airai,TL,-8.93,125.41,299.24,26.0,79.0,56,44,1.4,3.11,['22 Nov 2020 21:55:58']
12,3038333,Arrondissement d'Ajaccio,FR,42.0,8.92,278.15,5.0,41.0,75,0,3.6,8.0,['22 Nov 2020 21:55:58']
13,1295765,Sittwe,MM,20.15,92.9,297.91,25.0,77.0,67,4,2.66,5.91,['22 Nov 2020 21:55:58']
14,5106841,Albany,US,42.6,-73.97,278.75,6.0,42.0,74,100,4.59,10.2,['22 Nov 2020 21:55:58']
15,2522091,Alcúdia,ES,39.85,3.12,280.56,7.0,45.0,83,1,2.3,5.11,['22 Nov 2020 21:55:58']
16,583345,Aleksandrov Gay,RU,50.15,48.57,270.61,-3.0,27.0,98,100,4.53,10.07,['22 Nov 2020 21:55:58']
17,361058,Alexandria,EG,31.22,29.96,290.15,17.0,63.0,88,40,1.0,2.22,['22 Nov 2020 21:55:58']
18,3183284,Alghero,IT,40.56,8.32,279.99,7.0,44.0,87,0,2.6,5.78,['22 Nov 2020 21:55:58']
19,2521883,Almeria,ES,37.17,-2.33,282.72,9.0,49.0,76,0,5.7,12.67,['22 Nov 2020 21:55:58']
20,6316343,Alta Floresta,BR,-9.88,-56.09,295.87,23.0,73.0,87,96,0.73,1.62,['22 Nov 2020 21:55:58']
21,245338,Am Timan,TD,11.03,20.28,294.75,22.0,71.0,35,94,1.74,3.87,['22 Nov 2020 21:55:58']
22,3407762,Amapá,BR,1.0,-52.0,295.8,23.0,73.0,98,100,1.07,2.38,['22 Nov 2020 21:55:58']
23,1082243,Ambilobe,MG,-13.2,49.05,296.63,23.0,74.0,78,0,1.71,3.8,['22 Nov 2020 21:55:58']
24,1651531,Ambon City,ID,-3.7,128.18,306.15,33.0,91.0,66,40,4.1,9.11,['22 Nov 2020 21:55:58']
25,1079048,Ambovombe,MG,-25.17,46.08,295.83,23.0,73.0,84,11,3.19,7.09,['22 Nov 2020 21:55:58']
26,5637146,Anaconda,US,46.13,-112.94,267.15,-6.0,21.0,67,1,2.6,5.78,['22 Nov 2020 21:55:58']
27,2127202,Anadyr,RU,64.75,177.48,270.15,-3.0,27.0,92,40,5.0,11.11,['22 Nov 2020 21:55:58']
28,265127,Paralia Milatou,GR,35.32,25.57,288.26,15.0,59.0,72,75,5.1,11.33,['22 Nov 2020 21:55:58']
29,3899695,Ancud,CL,-41.87,-73.82,281.34,8.0,47.0,87,0,2.6,5.78,['22 Nov 2020 21:55:58']
30,2304548,Anloga,GH,5.79,0.9,300.15,27.0,81.0,88,20,3.1,6.89,['22 Nov 2020 21:55:58']
31,1071296,Antalaha,MG,-14.9,50.28,295.96,23.0,73.0,80,9,2.97,6.6,['22 Nov 2020 21:55:58']
32,2460954,Araouane,ML,18.9,-3.53,292.97,20.0,68.0,30,0,7.03,15.62,['22 Nov 2020 21:55:58']
33,3665202,Aripuanã,BR,-9.17,-60.63,295.83,23.0,73.0,92,24,1.2,2.67,['22 Nov 2020 21:55:58']
34,2447513,Arlit,NE,18.74,7.39,292.63,19.0,67.0,24,0,2.31,5.13,['22 Nov 2020 21:55:58']
35,3471451,Arraial do Cabo,BR,-22.97,-42.03,295.11,22.0,72.0,76,98,4.78,10.62,['22 Nov 2020 21:55:58']
36,1278335,Ārvi,IN,20.98,78.23,293.2,20.0,68.0,38,0,2.31,5.13,['22 Nov 2020 21:55:58']
37,2725123,Arvika,SE,59.66,12.59,277.15,4.0,39.0,69,7,3.6,8.0,['22 Nov 2020 21:55:58']
38,2537881,Safi,MA,32.3,-9.24,291.65,18.0,65.0,65,0,1.77,3.93,['22 Nov 2020 21:55:58']
39,343292,Āsosa,ET,10.07,34.53,290.71,18.0,64.0,50,52,1.35,3.0,['22 Nov 2020 21:55:58']
40,359792,Aswān,EG,24.09,32.91,287.09,14.0,57.0,51,0,3.64,8.09,['22 Nov 2020 21:55:58']
41,2381334,Atar,MR,20.52,-13.05,295.79,23.0,73.0,22,27,5.89,13.09,['22 Nov 2020 21:55:58']
42,2436400,Ati,TD,13.22,18.34,296.64,23.0,74.0,29,69,4.17,9.27,['22 Nov 2020 21:55:58']
43,4020109,Atuona,PF,-9.8,-139.03,298.73,26.0,78.0,71,12,6.1,13.56,['22 Nov 2020 21:55:58']
44,4035715,Avarua,CK,-21.21,-159.78,298.15,25.0,77.0,88,100,3.6,8.0,['22 Nov 2020 21:55:58']
45,2303611,Esim,GH,4.87,-2.24,298.63,26.0,78.0,86,1,2.88,6.4,['22 Nov 2020 21:55:58']
46,2447416,Ayorou,NE,14.73,0.92,294.17,21.0,70.0,22,9,2.22,4.93,['22 Nov 2020 21:55:58']
47,2367660,Badou,TG,7.58,0.6,295.83,23.0,73.0,81,0,0.7,1.56,['22 Nov 2020 21:55:58']
48,2375255,Bafatá,GW,12.17,-14.75,295.19,22.0,72.0,85,5,0.93,2.07,['22 Nov 2020 21:55:58']
49,1728675,Balabac,PH,7.99,117.06,302.54,29.0,85.0,74,92,8.47,18.82,['22 Nov 2020 21:55:58']
50,98112,Balad,IQ,34.02,44.15,287.11,14.0,57.0,53,4,3.78,8.4,['22 Nov 2020 21:55:58']
51,610445,Balyqshy,KZ,47.07,51.87,268.15,-5.0,23.0,62,0,4.0,8.89,['22 Nov 2020 21:55:58']
52,1650434,Bambanglipuro,ID,-7.95,110.28,303.06,30.0,86.0,65,91,2.93,6.51,['22 Nov 2020 21:55:58']
53,1106677,Bambous Virieux,MU,-20.34,57.76,297.1,24.0,75.0,83,75,4.1,9.11,['22 Nov 2020 21:55:58']
54,2460546,Banamba,ML,13.55,-7.45,293.66,21.0,69.0,24,12,3.86,8.58,['22 Nov 2020 21:55:58']
55,1215502,Banda Aceh,ID,5.56,95.32,300.84,28.0,82.0,68,73,3.5,7.78,['22 Nov 2020 21:55:58']
56,64814,Bandarbeyla,SO,9.49,50.81,298.41,25.0,77.0,73,84,4.66,10.36,['22 Nov 2020 21:55:58']
57,240498,Bangassou,CF,4.74,22.82,292.31,19.0,66.0,71,48,1.26,2.8,['22 Nov 2020 21:55:58']
58,2347758,Bara,NG,10.37,10.73,296.19,23.0,73.0,41,94,2.87,6.38,['22 Nov 2020 21:55:58']
59,1650064,Barabai,ID,-2.58,115.38,304.61,32.0,89.0,62,88,0.88,1.96,['22 Nov 2020 21:55:58']
60,1021040,Barkly West,ZA,-28.54,24.52,289.15,16.0,61.0,87,0,3.6,8.0,['22 Nov 2020 21:55:58']
61,3379507,Bartica,GY,6.4,-58.62,297.15,24.0,75.0,100,75,1.0,2.22,['22 Nov 2020 21:55:58']
62,219414,Basoko,CD,1.24,23.62,295.63,22.0,72.0,83,91,0.25,0.56,['22 Nov 2020 21:55:58']
63,3374083,Bathsheba,BB,13.22,-59.52,298.15,25.0,77.0,83,75,10.3,22.89,['22 Nov 2020 21:55:58']
64,1250161,Batticaloa,LK,7.71,81.69,298.38,25.0,77.0,89,100,4.15,9.22,['22 Nov 2020 21:55:58']
65,2303287,Bawku,GH,11.06,-0.24,295.56,22.0,72.0,26,1,3.15,7.0,['22 Nov 2020 21:55:58']
66,2303258,Bechem,GH,7.09,-2.02,294.84,22.0,71.0,96,15,0.74,1.64,['22 Nov 2020 21:55:58']
67,1052373,Beira,MZ,-19.84,34.84,296.04,23.0,73.0,94,20,2.6,5.78,['22 Nov 2020 21:55:58']
68,3470164,Bela Vista de Goiás,BR,-16.97,-48.95,298.15,25.0,77.0,69,0,3.6,8.0,['22 Nov 2020 21:55:58']
